"time_stamp","angular_speed_x","angular_speed_y","angular_speed_z","acceleration_x","acceleration_y","acceleration_z","altitude","latitude","longitude","temperature","quaternion_w","quaternion_x","quaternion_y","quaternion_z","acquisition_board_state_1","acquisition_board_state_2","acquisition_board_state_3","power_supply_state_1","power_supply_state_2","payload_board_state_1","voltage","current"
13,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,271.10699462890625,32.990577697753906,-106.97518920898438,44.6860466003418,0,0,0,0,0,0,0,0,0,0,0,0
14,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,481.9679870605469,32.990596771240234,-106.97516632080078,44.06309127807617,0,0,0,0,0,0,0,0,0,0,0,0
15,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,676.2149658203125,32.99061584472656,-106.97514343261719,43.45491409301758,0,0,0,0,0,0,0,0,0,0,0,0
16,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,807.7020263671875,32.99063491821289,-106.9751205444336,42.87110137939453,0,0,0,0,0,0,0,0,0,0,0,0
17,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,937.93701171875,32.99065399169922,-106.97510528564453,42.320865631103516,0,0,0,0,0,0,0,0,0,0,0,0
18,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,1066.9200439453125,32.99067306518555,-106.97508239746094,41.81288146972656,0,0,0,0,0,0,0,0,0,0,0,0
19,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,1194.6510009765625,32.99068832397461,-106.97505950927734,41.35515594482422,0,0,0,0,0,0,0,0,0,0,0,0
20,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,1321.1300048828125,32.99070739746094,-106.97503662109375,40.95491409301758,0,0,0,0,0,0,0,0,0,0,0,0
21,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,1446.3570556640625,32.990726470947266,-106.97502136230469,40.618465423583984,0,0,0,0,0,0,0,0,0,0,0,0
22,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,1570.33203125,32.990745544433594,-106.9749984741211,40.35111618041992,0,0,0,0,0,0,0,0,0,0,0,0
23,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,1693.0550537109375,32.99076461791992,-106.9749755859375,40.15708541870117,0,0,0,0,0,0,0,0,0,0,0,0
24,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,1814.5260009765625,32.990779876708984,-106.9749526977539,40.0394287109375,0,0,0,0,0,0,0,0,0,0,0,0
25,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,1934.7449951171875,32.99079895019531,-106.97493743896484,40.0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2053.7119140625,32.99081802368164,-106.97491455078125,40.0394287109375,0,0,0,0,0,0,0,0,0,0,0,0
27,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2171.427001953125,32.99083709716797,-106.97489166259766,40.15708541870117,0,0,0,0,0,0,0,0,0,0,0,0
28,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2287.89013671875,32.9908561706543,-106.97486877441406,40.35111999511719,0,0,0,0,0,0,0,0,0,0,0,0
29,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2403.100830078125,32.99087142944336,-106.974853515625,40.618465423583984,0,0,0,0,0,0,0,0,0,0,0,0
30,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2517.06005859375,32.99089050292969,-106.9748306274414,40.95491409301758,0,0,0,0,0,0,0,0,0,0,0,0
31,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2629.76708984375,32.990909576416016,-106.97480773925781,41.35515594482422,0,0,0,0,0,0,0,0,0,0,0,0
32,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2741.22216796875,32.990928649902344,-106.97478485107422,41.81288146972656,0,0,0,0,0,0,0,0,0,0,0,0
33,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2851.425048828125,32.99094772338867,-106.97476959228516,42.320865631103516,0,0,0,0,0,0,0,0,0,0,0,0
34,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2960.376220703125,32.990966796875,-106.97474670410156,42.8711051940918,0,0,0,0,0,0,0,0,0,0,0,0
35,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,3068.0,32.99098205566406,-106.97472381591797,43.454917907714844,0,0,0,0,0,0,0,0,0,0,0,0
36,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,3047.85009765625,32.9909782409668,-106.97471618652344,44.06309127807617,0,0,0,0,0,0,0,0,0,0,0,0
37,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,3027.699951171875,32.990970611572266,-106.97470092773438,44.6860466003418,0,0,0,0,0,0,0,0,0,0,0,0
38,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,3007.550048828125,32.990962982177734,-106.97469329833984,45.3139533996582,0,0,0,0,0,0,0,0,0,0,0,0
39,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2987.39990234375,32.9909553527832,-106.97468566894531,45.93690872192383,0,0,0,0,0,0,0,0,0,0,0,0
40,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2967.25,32.99094772338867,-106.97467803955078,46.54508590698242,0,0,0,0,0,0,0,0,0,0,0,0
41,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2947.10009765625,32.99094009399414,-106.97467041015625,47.12889862060547,0,0,0,0,0,0,0,0,0,0,0,0
42,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2926.949951171875,32.99093246459961,-106.97466278076172,47.679134368896484,0,0,0,0,0,0,0,0,0,0,0,0
43,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2906.800048828125,32.99092483520508,-106.97464752197266,48.1871223449707,0,0,0,0,0,0,0,0,0,0,0,0
44,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2886.64990234375,32.99091720581055,-106.97463989257812,48.64484405517578,0,0,0,0,0,0,0,0,0,0,0,0
45,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2866.5,32.990909576416016,-106.9746322631836,49.04508590698242,0,0,0,0,0,0,0,0,0,0,0,0
46,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2846.35009765625,32.99090576171875,-106.97462463378906,49.381534576416016,0,0,0,0,0,0,0,0,0,0,0,0
47,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2826.199951171875,32.99089813232422,-106.97461700439453,49.64888381958008,0,0,0,0,0,0,0,0,0,0,0,0
48,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2806.050048828125,32.99089050292969,-106.974609375,49.84291458129883,0,0,0,0,0,0,0,0,0,0,0,0
49,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2785.89990234375,32.990882873535156,-106.97459411621094,49.960575103759766,0,0,0,0,0,0,0,0,0,0,0,0
50,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2765.75,32.990875244140625,-106.9745864868164,50.0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2745.60009765625,32.990867614746094,-106.97457885742188,49.9605712890625,0,0,0,0,0,0,0,0,0,0,0,0
52,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2725.449951171875,32.99085998535156,-106.97457122802734,49.84291458129883,0,0,0,0,0,0,0,0,0,0,0,0
53,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2705.300048828125,32.99085235595703,-106.97456359863281,49.64888381958008,0,0,0,0,0,0,0,0,0,0,0,0
54,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2685.14990234375,32.9908447265625,-106.97454833984375,49.38153076171875,0,0,0,0,0,0,0,0,0,0,0,0
55,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2665.0,32.99083709716797,-106.97454071044922,49.04508590698242,0,0,0,0,0,0,0,0,0,0,0,0
56,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2644.85009765625,32.9908332824707,-106.97453308105469,48.644840240478516,0,0,0,0,0,0,0,0,0,0,0,0
57,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2624.699951171875,32.99082565307617,-106.97452545166016,48.18711853027344,0,0,0,0,0,0,0,0,0,0,0,0
58,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2604.550048828125,32.99081802368164,-106.97451782226562,47.679134368896484,0,0,0,0,0,0,0,0,0,0,0,0
59,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2584.39990234375,32.99081039428711,-106.9745101928711,47.1288948059082,0,0,0,0,0,0,0,0,0,0,0,0
60,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2564.25,32.99080276489258,-106.97449493408203,46.545082092285156,0,0,0,0,0,0,0,0,0,0,0,0
61,0.0,0.0,2.0,0.0,0.0,-0.4444444477558136,2544.10009765625,32.99079513549805,-106.9744873046875,45.93690490722656,0,0,0,0,0,0,0,0,0,0,0,0
